feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.0,Ayeyarwady,Pyapon,Pyapon,Kwanchangone,Dedaye,,,4,1.349339,1.333958,0.015381,1.011531,1.1531,near_straight,False
All_states_region_MVLine_tsp_level.1,Ayeyarwady,Pyapon,Pyapon,Maubin,Kyaiklat,,,5,25.64494,25.472646,0.172294,1.006764,0.6764,near_straight,False
All_states_region_MVLine_tsp_level.2,Ayeyarwady,Pyapon,Pyapon,Pyapon,Kyaiklat,,,7,20.235051,18.372111,1.86294,1.1014,10.14,minor_detour,False
All_states_region_MVLine_tsp_level.3,Ayeyarwady,Pyapon,Pyapon,Dedaye,Pyapon,,,8,26.504419,25.562944,0.941476,1.03683,3.683,near_straight,False
All_states_region_MVLine_tsp_level.4,Ayeyarwady,Pyapon,Pyapon,Pyapon,Bogale,,,6,31.569938,30.5932,0.976738,1.031927,3.1927,near_straight,False
All_states_region_MVLine_tsp_level.5,Ayeyarwady,Pyapon,Pyapon,Pyapon,Kyonkadun,,,8,25.383644,24.653321,0.730323,1.029624,2.9624,near_straight,False
All_states_region_MVLine_tsp_level.6,Ayeyarwady,Pyapon,Pyapon,Pyapon,Kani,,,3,6.449291,6.281528,0.167763,1.026707,2.6707,near_straight,False
All_states_region_MVLine_tsp_level.7,Ayeyarwady,Pyapon,Pyapon,Pyapon,Thameintaw,,,3,4.009784,3.9655,0.044285,1.011168,1.1168,near_straight,False
All_states_region_MVLine_tsp_level.8,Ayeyarwady,Pyapon,Pyapon,Bogale,Myinkagone,,,5,12.96667,12.866289,0.100381,1.007802,0.7802,near_straight,False
All_states_region_MVLine_tsp_level.9,Ayeyarwady,Pyapon,Pyapon,Bogale,Mawlamyaing island,,,2,3.871984,3.871984,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.10,Ayeyarwady,Pathein,Thabaung,Pathein(Myat To),Thabaung(Kyatthonkwin),,,2,18.627854,18.627854,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.11,Ayeyarwady,Pathein,Thabaung,Thabaung,Yelegyi,,,2,10.541502,10.541502,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.12,Ayeyarwady,Pathein,Thabaung,Yelegyi,Wet-Daunggyi,,,2,14.868606,14.868606,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.13,Ayeyarwady,Pathein,Thabaung,Wet-Daunggyi,Seiktha,,,2,4.418456,4.418456,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.14,Ayeyarwady,Pathein,Thabaung,Athote,Lahagamon,,,3,29.605956,29.457861,0.148095,1.005027,0.5027,near_straight,False
